Year,Month,Hottest Temperature,Coldest  Temperature,Average Temperature,Median Temperature
2022,1,38.000000,20.900000,28.277416,0
2022,2,34.000000,19.200001,25.067860,0
2022,3,33.000000,20.000000,24.193554,0
2022,4,30.000000,15.100000,21.216667,0
2022,5,21.000000,9.200000,16.316126,0
2022,6,17.000000,12.000000,14.436666,0
2022,7,18.000000,11.000000,13.719354,0
2022,8,20.000000,11.800000,15.590322,0
2022,9,20.000000,13.000000,16.363333,0
2022,10,24.000000,13.800000,18.703226,0
2022,11,29.000000,13.000000,20.066668,0
2022,12,38.000000,17.600000,23.770969,0
